ranking_date,rank,name,title,country,country abbrev.,rating,games,birth_year
27-07-00,1,"Kasparov, Garry",g,Russia,RUS,2849,35,1963
27-07-00,2,"Kramnik, Vladimir",g,Russia,RUS,2770,23,1975
27-07-00,3,"Anand, Viswanathan",g,India,IND,2762,23,1969
27-07-00,4,"Morozevich, Alexander",g,Russia,RUS,2756,28,1977
27-07-00,5,"Adams, Michael",g,United Kingdom,ENG,2755,38,1971
27-07-00,6,"Shirov, Alexei",g,Spain,ESP,2746,33,1972
27-07-00,7,"Leko, Peter",g,Hungary,HUN,2743,29,1979
27-07-00,8,"Ivanchuk, Vassily",g,Ukraine,UKR,2719,10,1969
27-07-00,9,"Topalov, Veselin",g,Bulgaria,BUL,2707,11,1975
27-07-00,10,"Krasenkow, Michal",g,Poland,POL,2702,61,1963
27-07-00,11,"Bareev, Evgeny",g,Russia,RUS,2702,17,1966
27-07-00,12,"Karpov, Anatoly",g,Russia,RUS,2699,11,1951
27-07-00,13,"Kasimdzhanov, Rustam",g,Uzbekistan,UZB,2690,44,1979
27-07-00,14,"Svidler, Peter",g,Russia,RUS,2689,9,1976
27-07-00,15,"Gelfand, Boris",g,Israel,ISR,2681,27,1968
27-07-00,16,"Short, Nigel D.",g,United Kingdom,ENG,2677,44,1965
27-07-00,17,"Smirin, Ilia",g,Israel,ISR,2677,25,1968
27-07-00,18,"Dreev, Alexey",g,Russia,RUS,2676,26,1969
27-07-00,19,"Azmaiparashvili, Zurab",g,Georgia,GEO,2673,0,1960
27-07-00,20,"Ye, Jiangchuan",g,China,CHN,2670,45,1960
27-07-00,21,"Rublevsky, Sergei",g,Russia,RUS,2670,24,1974
27-07-00,22,"Xu, Jun",g,China,CHN,2668,75,1962
27-07-00,23,"Almasi, Zoltan",g,Hungary,HUN,2668,25,1976
27-07-00,24,"Gurevich, Mikhail",g,Belgium,BEL,2667,50,1959
27-07-00,25,"Khalifman, Alexander",g,Russia,RUS,2667,35,1966
